Name,Address,Location,Price,Cuisine,Longitude,Latitude,Award,FacilitiesAndServices,Description,Price_level
Taian,"1-21-2 Shimanouchi, Chuo-ku, Osaka, 542-0082, Japan","Osaka, Japan",¥¥¥,Japanese,,,3 Stars,"Air conditioning,Counter dining","Cuisine that does not change does not improve. To advance the craft he learned at a ryotei, Hitoshi Takahata has brought it to a counter-style kappo. His omakase menu, for example, bends standard practice by letting guests choose grilled items. Grilled spareribs are prepared with soy sauce, honey and red wine, elevating this Japanese favourite. The calligraphed tablet is written by Takahata’s father; artwork is the handiwork of his daughter; the proprietress handles customer service. A restaurant supported by a family’s love.",3
Hyotei,"35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan","Kyoto, Japan",¥¥¥¥,Japanese,135.786742,35.011355,3 Stars,"Air conditioning,Car park,Shoes must be removed","This traditional restaurant began its 450-year history as a teahouse on the approach to Nanzen-ji Temple. The premises have retained much of their character while accruing features from each passing era, and the same is true of the fare. Two generations have combined fluidity with constancy, layering gradual innovation on top of unchanging Hyotei tradition. Soup made with dried tuna instead of dried bonito was the innovation of Eiichi Takahashi, while tomato soy sauce with decorative sashimi of Akashi sea bream of current owner-chef Yoshihiro Takahashi.",4
HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan","Osaka, Japan",¥¥¥¥,Innovative,135.496084,34.688612,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","An artwork resembling a planet dominates the dining room. Look closely and the ‘planet?contains overlapping images of cuisine, which gather together to form a picture of the Earth. ‘Dialogue with the Earth?is, indeed, the theme of this restaurant. The experience of growing up amid the beauty of nature shaped the bold world view of Hajime Yoneda. The digitised recipes and detailed cuisine attest to his experience as a system engineer. Cuisine that draws inspiration from all Creation is imbued with love and respect for nature.",4
Kikunoi Honten,"459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan","Kyoto, Japan",¥¥¥¥,Japanese,135.782079,35.001535,3 Stars,"Air conditioning,Car park,Shoes must be removed","The elegant garden and well-appointed ceremonial space speak of a gracious atmosphere born of unbroken tradition. The fare presented encapsulates the creed of ‘kirei sabi? or cheerful beauty within a classic form. That which does not change, changes continually. Innovation that gives birth to tradition is the human science of Chef Yoshihiro Murata. ‘The traditional Japanese restaurant is the art gallery of the Japanese aesthetic? Murata observes, and the aesthetic of Kyoto is elegant simplicity.",4
Isshisoden Nakamura,"136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan","Kyoto, Japan",¥¥¥¥,Japanese,135.765083,35.010397,3 Stars,"Air conditioning,Shoes must be removed","Isshisoden Nakamura started out as a business hauling fish from the Wakasa region to Kyoto. For Motokazu Nakamura, the sixth-generation owner-chef, his restaurant’s name does not refer to a secret cooking technique passed down to a single heir, but rather to the spirit of treasuring every meeting. For the shiromiso zoni, the miso is dissolved in water alone.  The remains of the sweet-grilled tilefish are turned into soup, not letting any flavour escape. The water bubbling up from the tiny inner garden is behind this restaurant’s best-known dishes.",4
Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan","Kyoto, Japan",¥¥¥¥,Japanese,135.782364,35.002993,3 Stars,"Air conditioning,Cash only,Counter dining,Notable sake list","‘Mizai?means ‘not there yet? the creed by which owner-chef Hitoshi Ishihara lives. All guests are served at the same time under the concept of ‘building together?to facilitate communication. Rice is served freshly steamed rice and scorched to signify thanksgiving to Japan for her bounty. The matcha is made with holy water from Yasaka Shrine. Taking to heart the counsel of 16C tea master Sen-no-Rikyu, ‘arrive before the appointed time? Ishihara is already waiting for customers at 6:00 p.m.",4
Gion Sasaki,"566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan","Kyoto, Japan",¥¥¥¥,Japanese,135.775049,34.998881,3 Stars,"Air conditioning,Counter dining,Shoes must be removed","Gion Sasaki is tackling new challenges, where ‘everyone’s a star? Staff members work together to propose menu items in a dialogue between younger members, who hold the future of cuisine in their hands, and Hiroshi Sasaki with his wealth of experience. The practice inspires the younger cooks while bringing everyone together. The central presence of a grill reminds staff of the origins of cooking. Sasaki continues to drive a revolution in Kyoto cuisine.",4
Kashiwaya Osaka Senriyama,"2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan","Osaka, Japan",¥¥¥,Japanese,135.501289,34.770287,3 Stars,"Air conditioning,Interesting wine list,Notable sake list,Shoes must be removed","The interior, ceremonial space and dining-ware remind one of a tea ceremony room. The menu is based on the traditional division of the year into 24 seasons, underscoring their ephemeral nature. Owner-chef Hideaki Matsuo follows the calendar and respects historical events and lore, passing Japanese culture to the next generation. He is always creative and ready to experiment with new flavours. The auspiciously named ‘Dragon Cloud Grill?was inspired by French soufflé. A modern sensibility is on generous display.",3
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany",€€€€,"Creative, Modern Cuisine",12.4656176,47.7856302,3 Stars,"Air conditioning,Car park,Interesting wine list","Here in the restaurant of Das Achental hotel, Edip Sigl impresses diners with his distinctive culinary style. His dishes are modern, sophisticated and packed with flavour and intense contrasts. However, they always remain wonderfully balanced. For example, the fantastic Mieral pigeon is given a nice barbecued note with a roasted finish and served with a harmonious onion and beetroot filling in a crispy baked tart and slices of intense-flavoured Périgord truffle. Diners choose from two set menus comprising six or eight courses dubbed ""Chiemgau pur"" and ""Chiemgau goes around the world"". As the names suggest, the first is dedicated entirely to premium produce from the Chiemgau region, while the second combines local and international ingredients. Be it Balfego tuna, brown trout or lamb, the quality of the produce is outstanding! The sophistication of the cuisine is matched by the courteous waitstaff, who also provide sound wine recommendations. Tip: Ask for a table by the large window front in the chic dining space for a view of the garden.",4
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany",€€€€,Classic French,6.8109342,49.9377323,3 Stars,"Car park,Garden or park,Interesting wine list","This legendary fine dining establishment has an exemplary pair of hosts in husband-and-wife team Magdalena and Clemens Rambichler. In the kitchen, the latter cultivates the house specialities (the ""Kleine Torte"" of beef fillet tartare with Imperial Gold caviar deserves a mention here!) and gives them a modern twist with a deft touch, while also incorporating new dishes of his own. Take, as an example of his refined, perfectly crafted and beautifully presented creations, the two langoustines of impeccable quality, grilled until tender ?they harmonise delightfully with the airy, creamy butter sauce and the aromatic fruity mango puree with a wisp of Buddha's hand. The set menu features two intriguing wine pairings. You can also dine à la carte. Magdalena Rambichler is always on hand, genial and extremely competent as head of service. The decor is stylish and elegant with a restrained modern feel. The inviting individually designed guestrooms are equally fabulous.",4
